"input" "reason" "matches" "primaryIdentifier" "symbol" "briefDescription" "class" "isObsolete"
"AT3G42250" "MATCH" "1" "AT3G42250" "AT3G42250" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42257" "MATCH" "1" "AT3G42257" "AT3G42257" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42256" "MATCH" "1" "AT3G42256" "AT3G42256" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42255" "MATCH" "1" "AT3G42255" "AT3G42255" "transposable_element_gene" "TransposableElementGene" ""
"AT5G64120" "MATCH" "1" "AT5G64120" "AT5G64120" "Peroxidase superfamily protein" "Gene" ""
"AT3G42254" "MATCH" "1" "AT3G42254" "AT3G42254" "transposable_element_gene" "TransposableElementGene" ""
"AT2G43570" "MATCH" "1" "AT2G43570" "CHI" "chitinase" "Gene" ""
"AT3G42258" "MATCH" "1" "AT3G42258" "AT3G42258" "transposable_element_gene" "TransposableElementGene" ""
"AT2G29350" "MATCH" "1" "AT2G29350" "SAG13" "senescence-associated gene 13" "Gene" ""
"AT4G14780" "MATCH" "1" "AT4G14780" "AT4G14780" "Protein kinase superfamily protein" "Gene" ""
"AT1G65485" "MATCH" "1" "AT1G65485" "AT1G65485" "transposable_element_gene" "TransposableElementGene" ""
"AT1G57630" "MATCH" "1" "AT1G57630" "AT1G57630" "Toll-Interleukin-Resistance (TIR) domain family protein" "Gene" ""
"AT4G23215" "MATCH" "1" "AT4G23215" "AT4G23215" "pseudogene of cysteine-rich RECEPTOR-like kinase" "Pseudogene" ""
"AT2G29250" "MATCH" "1" "AT2G29250" "AT2G29250" "Concanavalin A-like lectin protein kinase family protein" "Gene" ""
"AT4G12500" "MATCH" "1" "AT4G12500" "AT4G12500" "Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Gene" ""
"AT1G65481" "MATCH" "1" "AT1G65481" "AT1G65481" "transmembrane protein" "Gene" ""
"AT5G11210" "MATCH" "1" "AT5G11210" "GLR2.5" "glutamate receptor 2.5" "Gene" ""
"AT1G77100" "MATCH" "1" "AT1G77100" "AT1G77100" "peroxidase superfamily protein" "Gene" ""
"AT5G26250" "MATCH" "1" "AT5G26250" "AT5G26250" "Major facilitator superfamily protein" "Gene" ""
"AT2G39030" "MATCH" "1" "AT2G39030" "NATA1" "Acyl-CoA N-acyltransferases (NAT) superfamily protein" "Gene" ""
"AT2G14510" "MATCH" "1" "AT2G14510" "AT2G14510" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT5G36150" "MATCH" "1" "AT5G36150" "PEN3" "putative pentacyclic triterpene synthase 3" "Gene" ""
"AT5G15500" "MATCH" "1" "AT5G15500" "AT5G15500" "Ankyrin repeat family protein" "Gene" ""
"AT2G13910" "MATCH" "1" "AT2G13910" "AT2G13910" "pseudogene of Cysteine/Histidine-rich C1 domain family protein" "Pseudogene" ""
"AT3G42260" "MATCH" "1" "AT3G42260" "AT3G42260" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42160" "MATCH" "1" "AT3G42160" "AT3G42160" "Pectin lyase-like superfamily protein" "Gene" ""
"AT1G47395" "MATCH" "1" "AT1G47395" "AT1G47395" "hypothetical protein" "Gene" ""
"AT5G48430" "MATCH" "1" "AT5G48430" "AT5G48430" "Eukaryotic aspartyl protease family protein" "Gene" ""
"AT4G35170" "MATCH" "1" "AT4G35170" "AT4G35170" "Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family" "Gene" ""
"AT1G01680" "MATCH" "1" "AT1G01680" "PUB54" "plant U-box 54" "Gene" ""
"AT1G59359" "MATCH" "1" "AT1G59359" "AT1G59359" "Ribosomal protein S5 family protein" "Gene" ""
"AT3G28740" "MATCH" "1" "AT3G28740" "CYP81D11" "Cytochrome P450 superfamily protein" "Gene" ""
"AT3G43684" "MATCH" "1" "AT3G43684" "AT3G43684" "transposable_element_gene" "TransposableElementGene" ""
"AT5G35965" "MATCH" "1" "AT5G35965" "AT5G35965" "transposable_element_gene" "TransposableElementGene" ""
"AT1G68040" "MATCH" "1" "AT1G68040" "AT1G68040" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT3G42550" "MATCH" "1" "AT3G42550" "AT3G42550" "Eukaryotic aspartyl protease family protein" "Gene" ""
"AT1G61130" "MATCH" "1" "AT1G61130" "SCPL32" "serine carboxypeptidase-like 32" "Gene" ""
"AT2G30770" "MATCH" "1" "AT2G30770" "CYP71A13" "cytochrome P450 family 71 polypeptide" "Gene" ""
"AT4G37950" "MATCH" "1" "AT4G37950" "AT4G37950" "Rhamnogalacturonate lyase family protein" "Gene" ""
"AT4G34135" "MATCH" "1" "AT4G34135" "UGT73B2" "UDP-glucosyltransferase 73B2" "Gene" ""
"AT3G25790" "MATCH" "1" "AT3G25790" "AT3G25790" "myb-like transcription factor family protein" "Gene" ""
"AT1G13480" "MATCH" "1" "AT1G13480" "AT1G13480" "hypothetical protein (DUF1262)" "Gene" ""
"AT3G20380" "MATCH" "1" "AT3G20380" "AT3G20380" "TRAF-like family protein" "Gene" ""
"AT3G42500" "MATCH" "1" "AT3G42500" "AT3G42500" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42233" "MATCH" "1" "AT3G42233" "AT3G42233" "transposable_element_gene" "TransposableElementGene" ""
"AT2G45135" "MATCH" "1" "AT2G45135" "AT2G45135" "RING/U-box superfamily protein" "Gene" ""
"AT1G65360" "MATCH" "1" "AT1G65360" "AGL23" "AGAMOUS-like 23" "Gene" ""
"AT3G42230" "MATCH" "1" "AT3G42230" "AT3G42230" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42300" "MATCH" "1" "AT3G42300" "AT3G42300" "transposable_element_gene" "TransposableElementGene" ""
"AT1G19530" "MATCH" "1" "AT1G19530" "AT1G19530" "DNA polymerase epsilon catalytic subunit A" "Gene" ""
"AT5G13320" "MATCH" "1" "AT5G13320" "PBS3" "Auxin-responsive GH3 family protein" "Gene" ""
"AT2G22940" "MATCH" "1" "AT2G22940" "AT2G22940" "hypothetical protein" "Gene" ""
"AT2G22941" "MATCH" "1" "AT2G22941" "AT2G22941" "Defensin-like (DEFL) family protein" "Gene" ""
"AT2G22942" "MATCH" "1" "AT2G22942" "AT2G22942" "growth factor" "Gene" ""
"AT2G45130" "MATCH" "1" "AT2G45130" "SPX3" "SPX domain protein 3" "Gene" ""
"AT3G29780" "MATCH" "1" "AT3G29780" "RALFL27" "ralf-like 27" "Gene" ""
"AT3G42440" "MATCH" "1" "AT3G42440" "AT3G42440" "transposable_element_gene" "TransposableElementGene" ""
"AT1G66610" "MATCH" "1" "AT1G66610" "AT1G66610" "TRAF-like superfamily protein" "Gene" ""
"AT1G28630" "MATCH" "1" "AT1G28630" "AT1G28630" "transcriptional regulator EFH1-like protein" "Gene" ""
"AT5G39120" "MATCH" "1" "AT5G39120" "AT5G39120" "RmlC-like cupins superfamily protein" "Gene" ""
"AT2G25440" "MATCH" "1" "AT2G25440" "RLP20" "receptor like protein 20" "Gene" ""
"AT1G28500" "MATCH" "1" "AT1G28500" "AT1G28500" "hypothetical protein (DUF626)" "Gene" ""
"AT3G42445" "MATCH" "1" "AT3G42445" "AT3G42445" "transposable_element_gene" "TransposableElementGene" ""
"AT3G41768" "MATCH" "1" "AT3G41768" "AT3G41768" "" "Gene" ""
"AT3G28890" "MATCH" "1" "AT3G28890" "RLP43" "receptor like protein 43" "Gene" ""
"AT3G42305" "MATCH" "1" "AT3G42305" "AT3G42305" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42236" "MATCH" "1" "AT3G42236" "AT3G42236" "transposable_element_gene" "TransposableElementGene" ""
"AT2G26370" "MATCH" "1" "AT2G26370" "AT2G26370" "MD-2-related lipid recognition domain-containing protein" "Gene" ""
"AT5G57220" "MATCH" "1" "AT5G57220" "CYP81F2" "cytochrome P450, family 81, subfamily F, polypeptide 2" "Gene" ""
"AT3G42245" "MATCH" "1" "AT3G42245" "AT3G42245" "transposable_element_gene" "TransposableElementGene" ""
"AT4G36700" "MATCH" "1" "AT4G36700" "AT4G36700" "RmlC-like cupins superfamily protein" "Gene" ""
"AT4G31970" "MATCH" "1" "AT4G31970" "CYP82C2" "cytochrome P450, family 82, subfamily C, polypeptide 2" "Gene" ""
"AT3G26260" "MATCH" "1" "AT3G26260" "AT3G26260" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42240" "MATCH" "1" "AT3G42240" "AT3G42240" "transposable_element_gene" "TransposableElementGene" ""
"AT1G20750" "MATCH" "1" "AT1G20750" "AT1G20750" "RAD3-like DNA-binding helicase protein" "Gene" ""
"AT2G39510" "MATCH" "1" "AT2G39510" "UMAMIT14" "nodulin MtN21 /EamA-like transporter family protein" "Gene" ""
"AT2G04495" "MATCH" "1" "AT2G04495" "AT2G04495" "transmembrane protein" "Gene" ""
"AT3G42430" "MATCH" "1" "AT3G42430" "AT3G42430" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42431" "MATCH" "1" "AT3G42431" "AT3G42431" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42432" "MATCH" "1" "AT3G42432" "AT3G42432" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42433" "MATCH" "1" "AT3G42433" "AT3G42433" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42100" "MATCH" "1" "AT3G42100" "AT3G42100" "transposable_element_gene" "TransposableElementGene" ""
"AT1G58050" "MATCH" "1" "AT1G58050" "AT1G58050" "RNA helicase family protein" "Gene" ""
"AT1G29100" "MATCH" "1" "AT1G29100" "AT1G29100" "Heavy metal transport/detoxification superfamily protein" "Gene" ""
"AT3G42438" "MATCH" "1" "AT3G42438" "AT3G42438" "transposable_element_gene" "TransposableElementGene" ""
"AT5G28510" "MATCH" "1" "AT5G28510" "BGLU24" "beta glucosidase 24" "Gene" ""
"AT3G43190" "MATCH" "1" "AT3G43190" "SUS4" "sucrose synthase 4" "Gene" ""
"AT5G24110" "MATCH" "1" "AT5G24110" "WRKY30" "WRKY DNA-binding protein 30" "Gene" ""
"AT1G68750" "MATCH" "1" "AT1G68750" "PPC4" "phosphoenolpyruvate carboxylase 4" "Gene" ""
"AT3G42434" "MATCH" "1" "AT3G42434" "AT3G42434" "transposable_element_gene" "TransposableElementGene" ""
"AT1G33030" "MATCH" "1" "AT1G33030" "AT1G33030" "O-methyltransferase family protein" "Gene" ""
"AT1G28640" "MATCH" "1" "AT1G28640" "AT1G28640" "GDSL-like Lipase/Acylhydrolase superfamily protein" "Gene" ""
"AT3G42436" "MATCH" "1" "AT3G42436" "AT3G42436" "transposable_element_gene" "TransposableElementGene" ""
"AT1G68620" "MATCH" "1" "AT1G68620" "AT1G68620" "alpha/beta-Hydrolases superfamily protein" "Gene" ""
"AT1G61800" "MATCH" "1" "AT1G61800" "GPT2" "glucose-6-phosphate/phosphate translocator 2" "Gene" ""
"AT3G25730" "MATCH" "1" "AT3G25730" "EDF3" "ethylene response DNA binding factor 3" "Gene" ""
"AT3G12500" "MATCH" "1" "AT3G12500" "HCHIB" "basic chitinase" "Gene" ""
"AT1G18870" "MATCH" "1" "AT1G18870" "ICS2" "isochorismate synthase 2" "Gene" ""
"AT3G42320" "MATCH" "1" "AT3G42320" "AT3G42320" "transposable_element_gene" "TransposableElementGene" ""
"AT5G52710" "MATCH" "1" "AT5G52710" "AT5G52710" "Copper transport protein family" "Gene" ""
"AT3G29767" "MATCH" "1" "AT3G29767" "AT3G29767" "transposable_element_gene" "TransposableElementGene" ""
"AT3G12502" "MATCH" "1" "AT3G12502" "AT3G12502" "Natural antisense transcript overlaps with AT3G12500" "Gene" ""
"AT5G48400" "MATCH" "1" "AT5G48400" "ATGLR1.2" "Glutamate receptor family protein" "Gene" ""
"AT4G19925" "MATCH" "1" "AT4G19925" "AT4G19925" "Toll-Interleukin-Resistance (TIR) domain family protein" "Gene" ""
"AT2G25625" "MATCH" "1" "AT2G25625" "AT2G25625" "histone deacetylase-like protein" "Gene" ""
"AT2G14560" "MATCH" "1" "AT2G14560" "LURP1" "LURP-one-like protein (DUF567)" "Gene" ""
"AT5G26220" "MATCH" "1" "AT5G26220" "AT5G26220" "ChaC-like family protein" "Gene" ""
"AT2G33790" "MATCH" "1" "AT2G33790" "AGP30" "arabinogalactan protein 30" "Gene" ""
"AT3G20360" "MATCH" "1" "AT3G20360" "AT3G20360" "TRAF-like family protein" "Gene" ""
"AT3G42110" "MATCH" "1" "AT3G42110" "AT3G42110" "transposable_element_gene" "TransposableElementGene" ""
"AT5G51870" "MATCH" "1" "AT5G51870" "AGL71" "AGAMOUS-like 71" "Gene" ""
"AT3G42420" "MATCH" "1" "AT3G42420" "AT3G42420" "transposable_element_gene" "TransposableElementGene" ""
"AT5G60060" "MATCH" "1" "AT5G60060" "AT5G60060" "F-box SKIP23-like protein (DUF295)" "Gene" ""
"AT5G39140" "MATCH" "1" "AT5G39140" "AT5G39140" "myb-like protein Q" "Gene" ""
"AT1G28650" "MATCH" "1" "AT1G28650" "AT1G28650" "GDSL-like Lipase/Acylhydrolase superfamily protein" "Gene" ""
"AT4G22210" "MATCH" "1" "AT4G22210" "LCR85" "low-molecular-weight cysteine-rich 85" "Gene" ""
"AT2G31083" "MATCH" "1" "AT2G31083" "CLE5" "CLAVATA3/ESR-RELATED 5" "Gene" ""
"AT2G31085" "MATCH" "1" "AT2G31085" "CLE6" "CLAVATA3/ESR-RELATED 6" "Gene" ""
"AT2G19500" "MATCH" "1" "AT2G19500" "CKX2" "cytokinin oxidase 2" "Gene" ""
"AT3G42115" "MATCH" "1" "AT3G42115" "AT3G42115" "transposable_element_gene" "TransposableElementGene" ""
"AT3G60270" "MATCH" "1" "AT3G60270" "AT3G60270" "Cupredoxin superfamily protein" "Gene" ""
"AT3G42520" "MATCH" "1" "AT3G42520" "AT3G42520" "transposable_element_gene" "TransposableElementGene" ""
"AT2G18660" "MATCH" "1" "AT2G18660" "PNP-A" "plant natriuretic peptide A" "Gene" ""
"AT2G33080" "MATCH" "1" "AT2G33080" "RLP28" "receptor like protein 28" "Gene" ""
"AT4G04745" "MATCH" "1" "AT4G04745" "AT4G04745" "hypothetical protein" "Gene" ""
"AT1G26420" "MATCH" "1" "AT1G26420" "AT1G26420" "FAD-binding Berberine family protein" "Gene" ""
"AT3G42310" "MATCH" "1" "AT3G42310" "AT3G42310" "hypothetical protein" "Gene" ""
"AT3G42220" "MATCH" "1" "AT3G42220" "AT3G42220" "transposable_element_gene" "TransposableElementGene" ""
"AT5G50760" "MATCH" "1" "AT5G50760" "AT5G50760" "SAUR-like auxin-responsive protein family" "Gene" ""
"AT3G49340" "MATCH" "1" "AT3G49340" "AT3G49340" "Cysteine proteinases superfamily protein" "Gene" ""
"AT2G19802" "MATCH" "1" "AT2G19802" "AT2G19802" "transmembrane protein" "Gene" ""
"AT2G38940" "MATCH" "1" "AT2G38940" "PHT1;4" "phosphate transporter 1;4" "Gene" ""
"AT3G09922" "MATCH" "1" "AT3G09922" "IPS1" "induced by phosphate starvation1" "Gene" ""
"AT2G33880" "MATCH" "1" "AT2G33880" "HB-3" "homeobox-3" "Gene" ""
"AT2G19900" "MATCH" "1" "AT2G19900" "NADP-ME1" "NADP-malic enzyme 1" "Gene" ""
"AT1G33813" "MATCH" "1" "AT1G33813" "AT1G33813" "transposable_element_gene" "TransposableElementGene" ""
"AT1G59312" "MATCH" "1" "AT1G59312" "AT1G59312" "Inositol-pentakisphosphate 2-kinase family protein" "Gene" ""
"AT1G33817" "MATCH" "1" "AT1G33817" "AT1G33817" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42120" "MATCH" "1" "AT3G42120" "AT3G42120" "transposable_element_gene" "TransposableElementGene" ""
"AT2G39530" "MATCH" "1" "AT2G39530" "AT2G39530" "Uncharacterized protein family (UPF0497)" "Gene" ""
"AT3G42410" "MATCH" "1" "AT3G42410" "AT3G42410" "transposable_element_gene" "TransposableElementGene" ""
"AT2G44460" "MATCH" "1" "AT2G44460" "BGLU28" "beta glucosidase 28" "Gene" ""
"AT3G02670" "MATCH" "1" "AT3G02670" "AT3G02670" "Glycine-rich protein family" "Gene" ""
"AT5G09720" "MATCH" "1" "AT5G09720" "AT5G09720" "Magnesium transporter CorA-like family protein" "Gene" ""
"AT1G13300" "MATCH" "1" "AT1G13300" "HRS1" "myb-like transcription factor family protein" "Gene" ""
"AT1G24420" "MATCH" "1" "AT1G24420" "AT1G24420" "HXXXD-type acyl-transferase family protein" "Gene" ""
"AT5G10760" "MATCH" "1" "AT5G10760" "AT5G10760" "Eukaryotic aspartyl protease family protein" "Gene" ""
"AT3G42510" "MATCH" "1" "AT3G42510" "AT3G42510" "transposable_element_gene" "TransposableElementGene" ""
"AT1G09935" "MATCH" "1" "AT1G09935" "AT1G09935" "Phosphoglycerate mutase family protein" "Gene" ""
"AT3G42313" "MATCH" "1" "AT3G42313" "AT3G42313" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42316" "MATCH" "1" "AT3G42316" "AT3G42316" "transposable_element_gene" "TransposableElementGene" ""
"AT4G37990" "MATCH" "1" "AT4G37990" "ELI3-2" "cinnamyl alcohol dehydrogenase 8" "Gene" ""
"AT4G31950" "MATCH" "1" "AT4G31950" "CYP82C3" "cytochrome P450, family 82, subfamily C, polypeptide 3" "Gene" ""
"AT1G26410" "MATCH" "1" "AT1G26410" "AT1G26410" "FAD-binding Berberine family protein" "Gene" ""
"AT4G22460" "MATCH" "1" "AT4G22460" "AT4G22460" "Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Gene" ""
"AT3G42086" "MATCH" "1" "AT3G42086" "AT3G42086" "transposable_element_gene" "TransposableElementGene" ""
"AT2G25230" "MATCH" "1" "AT2G25230" "MYB100" "myb domain protein 100" "Gene" ""
"AT1G34390" "MATCH" "1" "AT1G34390" "ARF22" "auxin response factor 22" "Gene" ""
"AT2G32680" "MATCH" "1" "AT2G32680" "RLP23" "receptor like protein 23" "Gene" ""
"AT2G22630" "MATCH" "1" "AT2G22630" "AGL17" "AGAMOUS-like 17" "Gene" ""
"AT4G15393" "MATCH" "1" "AT4G15393" "CYP702A5" "cytochrome P450, family 702, subfamily A, polypeptide 5" "Gene" ""
"AT3G42080" "MATCH" "1" "AT3G42080" "AT3G42080" "transposable_element_gene" "TransposableElementGene" ""
"AT4G02280" "MATCH" "1" "AT4G02280" "SUS3" "sucrose synthase 3" "Gene" ""
"AT1G67980" "MATCH" "1" "AT1G67980" "CCOAMT" "caffeoyl-CoA 3-O-methyltransferase" "Gene" ""
"AT3G42083" "MATCH" "1" "AT3G42083" "AT3G42083" "transposable_element_gene" "TransposableElementGene" ""
"AT2G07630" "MATCH" "1" "AT2G07630" "AT2G07630" "transposable_element_gene" "TransposableElementGene" ""
"AT4G05280" "MATCH" "1" "AT4G05280" "AT4G05280" "transposable_element_gene" "TransposableElementGene" ""
"AT1G80240" "MATCH" "1" "AT1G80240" "DGR1" "choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)" "Gene" ""
"AT1G19250" "MATCH" "1" "AT1G19250" "FMO1" "flavin-dependent monooxygenase 1" "Gene" ""
"AT3G44860" "MATCH" "1" "AT3G44860" "FAMT" "farnesoic acid carboxyl-O-methyltransferase" "Gene" ""
"AT5G24090" "MATCH" "1" "AT5G24090" "CHIA" "chitinase A" "Gene" ""
"AT5G64790" "MATCH" "1" "AT5G64790" "AT5G64790" "O-Glycosyl hydrolases family 17 protein" "Gene" ""
"AT5G02000" "MATCH" "1" "AT5G02000" "AT5G02000" "hypothetical protein" "Gene" ""
"ATCG01150" "MATCH" "1" "ATCG01150" "TRNR.3" "tRNA-Arg" "Gene" ""
"AT3G57260" "MATCH" "1" "AT3G57260" "BGL2" "beta-1,3-glucanase 2" "Gene" ""
"AT4G08555" "MATCH" "1" "AT4G08555" "AT4G08555" "hypothetical protein" "Gene" ""
"AT1G51870" "MATCH" "1" "AT1G51870" "AT1G51870" "protein kinase family protein" "Gene" ""
"AT1G73010" "MATCH" "1" "AT1G73010" "PS2" "inorganic pyrophosphatase 1" "Gene" ""
"AT4G23700" "MATCH" "1" "AT4G23700" "CHX17" "cation/H  exchanger 17" "Gene" ""
"AT1G64480" "MATCH" "1" "AT1G64480" "CBL8" "calcineurin B-like protein 8" "Gene" ""
"AT5G38250" "MATCH" "1" "AT5G38250" "AT5G38250" "Protein kinase family protein" "Gene" ""
"AT2G04290" "MATCH" "1" "AT2G04290" "AT2G04290" "transposable_element_gene" "TransposableElementGene" ""
"AT3G56400" "MATCH" "1" "AT3G56400" "WRKY70" "WRKY DNA-binding protein 70" "Gene" ""
"AT3G48650" "MATCH" "1" "AT3G48650" "AT3G48650" "pseudogene of pectinesterase%2C putative (DUF677)" "Pseudogene" ""
"AT1G51470" "MATCH" "1" "AT1G51470" "BGLU35" "beta glucosidase 35" "Gene" ""
"AT4G04500" "MATCH" "1" "AT4G04500" "CRK37" "cysteine-rich RLK (RECEPTOR-like protein kinase) 37" "Gene" ""
"AT3G42070" "MATCH" "1" "AT3G42070" "AT3G42070" "transposable_element_gene" "TransposableElementGene" ""
"AT5G38900" "MATCH" "1" "AT5G38900" "AT5G38900" "Thioredoxin superfamily protein" "Gene" ""
"AT2G07620" "MATCH" "1" "AT2G07620" "AT2G07620" "transposable_element_gene" "TransposableElementGene" ""
"AT1G24851" "MATCH" "1" "AT1G24851" "AT1G24851" "hypothetical protein" "Gene" ""
"AT1G71000" "MATCH" "1" "AT1G71000" "AT1G71000" "Chaperone DnaJ-domain superfamily protein" "Gene" ""
"AT1G30730" "MATCH" "1" "AT1G30730" "AT1G30730" "FAD-binding Berberine family protein" "Gene" ""
"AT5G05250" "MATCH" "1" "AT5G05250" "AT5G05250" "hypothetical protein" "Gene" ""
"AT1G19630" "MATCH" "1" "AT1G19630" "CYP722A1" "cytochrome P450, family 722, subfamily A, polypeptide 1" "Gene" ""
"AT5G06905" "MATCH" "1" "AT5G06905" "CYP712A2" "cytochrome P450, family 712, subfamily A, polypeptide 2" "Gene" ""
"AT2G43890" "MATCH" "1" "AT2G43890" "AT2G43890" "Pectin lyase-like superfamily protein" "Gene" ""
"ATCG01140" "MATCH" "1" "ATCG01140" "TRNN.2" "tRNA-Asn" "Gene" ""
"AT3G21080" "MATCH" "1" "AT3G21080" "AT3G21080" "ABC transporter-like protein" "Gene" ""
"AT4G01630" "MATCH" "1" "AT4G01630" "EXPA17" "expansin A17" "Gene" ""
"AT3G48850" "MATCH" "1" "AT3G48850" "PHT3;2" "phosphate transporter 3;2" "Gene" ""
"AT1G13520" "MATCH" "1" "AT1G13520" "AT1G13520" "hypothetical protein (DUF1262)" "Gene" ""
"AT2G43620" "MATCH" "1" "AT2G43620" "AT2G43620" "Chitinase family protein" "Gene" ""
"AT1G64160" "MATCH" "1" "AT1G64160" "DIR5" "Disease resistance-responsive (dirigent-like protein) family protein" "Gene" ""
"AT3G42065" "MATCH" "1" "AT3G42065" "AT3G42065" "transposable_element_gene" "TransposableElementGene" ""
"AT2G09840" "MATCH" "1" "AT2G09840" "AT2G09840" "nucleic acid/zinc ion-binding protein" "Gene" ""
"AT2G13810" "MATCH" "1" "AT2G13810" "ALD1" "AGD2-like defense response protein 1" "Gene" ""
"AT1G66600" "MATCH" "1" "AT1G66600" "ABO3" "ABA overly sensitive mutant 3" "Gene" ""
"AT3G61510" "MATCH" "1" "AT3G61510" "ACS1" "ACC synthase 1" "Gene" ""
"AT5G53510" "MATCH" "1" "AT5G53510" "OPT9" "oligopeptide transporter 9" "Gene" ""
"AT3G42060" "MATCH" "1" "AT3G42060" "AT3G42060" "myosin heavy chain-like protein" "Gene" ""
"AT5G23990" "MATCH" "1" "AT5G23990" "FRO5" "ferric reduction oxidase 5" "Gene" ""
"AT1G67270" "MATCH" "1" "AT1G67270" "AT1G67270" "Zinc-finger domain of monoamine-oxidase A repressor R1 protein" "Gene" ""
"AT1G30720" "MATCH" "1" "AT1G30720" "AT1G30720" "FAD-binding Berberine family protein" "Gene" ""
"AT1G03790" "MATCH" "1" "AT1G03790" "SOM" "Zinc finger C-x8-C-x5-C-x3-H type family protein" "Gene" ""
"AT1G11920" "MATCH" "1" "AT1G11920" "AT1G11920" "Pectin lyase-like superfamily protein" "Gene" ""
"AT1G14540" "MATCH" "1" "AT1G14540" "PER4" "Peroxidase superfamily protein" "Gene" ""
"AT3G50460" "MATCH" "1" "AT3G50460" "HR2" "homolog of RPW8 2" "Gene" ""
"AT2G05510" "MATCH" "1" "AT2G05510" "AT2G05510" "Glycine-rich protein family" "Gene" ""
"AT1G05080" "MATCH" "1" "AT1G05080" "AT1G05080" "F-box/RNI-like/FBD-like domains-containing protein" "Gene" ""
"AT3G42057" "MATCH" "1" "AT3G42057" "AT3G42057" "transposable_element_gene" "TransposableElementGene" ""
"AT5G23840" "MATCH" "1" "AT5G23840" "AT5G23840" "MD-2-related lipid recognition domain-containing protein" "Gene" ""
"AT3G48630" "MATCH" "1" "AT3G48630" "AT3G48630" "hypothetical protein" "Gene" ""
"AT3G29252" "MATCH" "1" "AT3G29252" "AT3G29252" "pseudogene of NAD(P)-binding Rossmann-fold superfamily protein" "Pseudogene" ""
"ATMG01300" "MATCH" "1" "ATMG01300" "ORF136A" "hypothetical protein" "Gene" ""
"AT3G42054" "MATCH" "1" "AT3G42054" "AT3G42054" "transposable_element_gene" "TransposableElementGene" ""
"AT3G45860" "MATCH" "1" "AT3G45860" "CRK4" "cysteine-rich RLK (RECEPTOR-like protein kinase) 4" "Gene" ""
"AT5G66400" "MATCH" "1" "AT5G66400" "RAB18" "Dehydrin family protein" "Gene" ""
"AT1G10585" "MATCH" "1" "AT1G10585" "AT1G10585" "basic helix-loop-helix (bHLH) DNA-binding superfamily protein" "Gene" ""
"AT5G47330" "MATCH" "1" "AT5G47330" "AT5G47330" "alpha/beta-Hydrolases superfamily protein" "Gene" ""
"AT2G22760" "MATCH" "1" "AT2G22760" "AT2G22760" "basic helix-loop-helix (bHLH) DNA-binding superfamily protein" "Gene" ""
"AT1G30710" "MATCH" "1" "AT1G30710" "AT1G30710" "FAD-binding Berberine family protein" "Gene" ""
"AT3G47380" "MATCH" "1" "AT3G47380" "AT3G47380" "Plant invertase/pectin methylesterase inhibitor superfamily protein" "Gene" ""
"AT2G24210" "MATCH" "1" "AT2G24210" "TPS10" "terpene synthase 10" "Gene" ""
"AT4G28460" "MATCH" "1" "AT4G28460" "AT4G28460" "transmembrane protein" "Gene" ""
"AT2G01530" "MATCH" "1" "AT2G01530" "MLP329" "MLP-like protein 329" "Gene" ""
"AT5G01900" "MATCH" "1" "AT5G01900" "WRKY62" "WRKY DNA-binding protein 62" "Gene" ""
"AT1G19610" "MATCH" "1" "AT1G19610" "PDF1.4" "defensin-like protein" "Gene" ""
"AT1G07985" "MATCH" "1" "AT1G07985" "AT1G07985" "Expressed protein" "Gene" ""
"AT2G04070" "MATCH" "1" "AT2G04070" "AT2G04070" "MATE efflux family protein" "Gene" ""
"AT1G51840" "MATCH" "1" "AT1G51840" "AT1G51840" "kinase-like protein" "Gene" ""
"AT4G14400" "MATCH" "1" "AT4G14400" "ACD6" "ankyrin repeat family protein" "Gene" ""
"AT1G27570" "MATCH" "1" "AT1G27570" "AT1G27570" "phosphatidylinositol 3- and 4-kinase family protein" "Gene" ""
"AT1G30135" "MATCH" "1" "AT1G30135" "JAZ8" "jasmonate-zim-domain protein 8" "Gene" ""
"AT1G71390" "MATCH" "1" "AT1G71390" "RLP11" "receptor like protein 11" "Gene" ""
"AT5G52400" "MATCH" "1" "AT5G52400" "CYP715A1" "cytochrome P450, family 715, subfamily A, polypeptide 1" "Gene" ""
"AT1G51420" "MATCH" "1" "AT1G51420" "SPP1" "sucrose-phosphatase 1" "Gene" ""
